ID;VALIDE;DATE;HEURE;LAT.;LONG.;PRECISION LIEU;TERRE/MER/AIR;ESPECE;PRECISION ESPECE;DAUPHIN SOLITAIRE;NOM DU DAUPHIN SOLITAIRE;NOMBRE;NOMBRE MINIMUM;NOMBRE MAXIMUM;SOURCE;ORGANISMES;RESEAUX
2821;oui;22/07/2004;10:15:00;48.727778;-4.125;0;2;Grand dauphin;A;non;;0;5;7;Base de donnees;Inconnu;GECC
2826;oui;25/07/2004;15:00:00;47.95;-4.7;0;2;Dauphin commun;A;non;;20;0;0;Base de donnees;Inconnu;GECC
3018;oui;04/08/2005;08:21:00;48.833333;-4.85;1;2;Marsouin commun;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3045;oui;10/08/2005;13:35:00;48.15;-5.35;1;2;Dauphin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3078;oui;15/08/2005;08:37:00;48.883333;-4.75;1;2;Marsouin commun;A;non;;2;0;0;Base de donnees;Naturaliste;GECC
3079;oui;15/08/2005;08:39:00;48.883333;-4.716667;1;2;Marsouin commun;A;non;;3;0;0;Base de donnees;Naturaliste;GECC
3080;oui;15/08/2005;08:47:00;48.9;-4.683333;1;2;Marsouin commun;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3082;oui;15/08/2005;08:50:00;48.916667;-4.666667;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3083;oui;15/08/2005;08:54:00;48.933333;-4.633333;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3084;oui;15/08/2005;06:05:00;48.3;-5.366667;1;2;Grand dauphin;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3086;oui;16/08/2005;10:58:00;48.866667;-4.883333;1;2;Petit rorqual;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
3093;oui;16/08/2005;11:05:00;48.833333;-4.916667;1;2;Grand dauphin;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3230;oui;03/08/2006;11:53:00;48.166667;-5.416667;1;2;Dauphin bleu et blanc;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3264;oui;08/08/2006;18:55:00;48.066667;-5.583333;1;2;Grand dauphin;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
3265;oui;08/08/2006;18:55:00;48.066667;-5.583333;1;2;Grand dauphin;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
3266;oui;08/08/2006;10:46:00;48.366667;-5.45;1;2;Grand dauphin;A;non;;20;0;0;Base de donnees;Naturaliste;GECC
3279;oui;15/08/2006;08:50:00;48.783333;-4.95;1;2;Petit rorqual;A;non;;2;0;0;Base de donnees;Naturaliste;GECC
3497;oui;10/08/2007;08:54:00;48.566667;-5.316667;1;2;Phoque gris;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
3498;oui;10/08/2007;06:50:00;48.316667;-4.433333;1;2;Marsouin commun;A;non;;1;0;0;Base de donnees;Naturaliste;GECC
3499;oui;10/08/2007;10:16:00;48.166667;-5.616667;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3500;oui;10/08/2007;10:48:00;48;-5.65;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3501;oui;10/08/2007;07:05:00;48.633333;-4.833333;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3502;oui;10/08/2007;08:35:00;48.65;-5.2;1;2;Marsouin commun;A;non;;10;0;0;Base de donnees;Naturaliste;GECC
3503;oui;10/08/2007;09:34:00;48.466667;-5.483333;1;2;Marsouin commun;A;non;;20;0;0;Base de donnees;Naturaliste;GECC
3504;oui;10/08/2007;06:55:00;48.35;-4.5;1;2;Marsouin commun;A;non;;3;0;0;Base de donnees;Naturaliste;GECC
3505;oui;10/08/2007;08:31:00;48.666667;-5.166667;1;2;Marsouin commun;A;non;;3;0;0;Base de donnees;Naturaliste;GECC
3506;oui;10/08/2007;08:58:00;48.55;-5.416667;1;2;Marsouin commun;A;non;;3;0;0;Base de donnees;Naturaliste;GECC
3507;oui;10/08/2007;08:37:00;48.65;-5.233333;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3508;oui;10/08/2007;06:30:00;48.15;-4.333333;1;2;Marsouin commun;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3509;oui;10/08/2007;08:43:00;48.8;-5.25;1;2;Marsouin commun;A;non;;4;0;0;Base de donnees;Naturaliste;GECC
3510;oui;10/08/2007;10:23:00;48.133333;-5.616667;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3511;oui;10/08/2007;10:35:00;48.066667;-5.633333;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
3512;oui;10/08/2007;08:12:00;48.716667;-5.033333;1;2;Marsouin commun;A;non;;5;0;0;Base de donnees;Naturaliste;GECC
